date,volume,open,close,high,low,adjclose
2018-11-16,53211,23.489999771118164,23.579999923706055,23.6299991607666,23.489999771118164,23.579999923706055
2018-11-15,26300,23.6200008392334,23.56999969482422,23.700000762939453,23.520000457763672,23.56999969482422
2018-11-14,48000,23.59000015258789,23.59000015258789,23.639999389648438,23.540000915527344,23.59000015258789
2018-11-13,27300,23.540000915527344,23.65999984741211,23.68000030517578,23.540000915527344,23.65999984741211
2018-11-12,39500,23.639999389648438,23.59000015258789,23.65999984741211,23.579999923706055,23.59000015258789
2018-11-09,37900,23.610000610351562,23.610000610351562,23.6299991607666,23.559999465942383,23.610000610351562
2018-11-08,45300,23.56999969482422,23.579999923706055,23.6200008392334,23.520000457763672,23.579999923706055
2018-11-07,48200,23.639999389648438,23.610000610351562,23.65999984741211,23.562000274658203,23.610000610351562
2018-11-06,42200,23.559999465942383,23.570999145507812,23.600000381469727,23.5,23.570999145507812
2018-11-05,54700,23.520000457763672,23.540000915527344,23.600000381469727,23.520000457763672,23.540000915527344
2018-11-02,59300,23.600000381469727,23.56999969482422,23.610000610351562,23.518999099731445,23.56999969482422
2018-11-01,45800,23.510000228881836,23.639999389648438,23.645000457763672,23.510000228881836,23.639999389648438
2018-10-31,35700,23.665000915527344,23.68000030517578,23.700000762939453,23.639999389648438,23.60900115966797
2018-10-30,21000,23.770000457763672,23.67300033569336,23.770000457763672,23.65999984741211,23.602022171020508
2018-10-29,71500,23.75,23.719999313354492,23.75,23.690000534057617,23.648880004882812
2018-10-26,78200,23.700000762939453,23.760000228881836,23.809999465942383,23.700000762939453,23.68876075744629
2018-10-25,42700,23.700000762939453,23.670000076293945,23.75,23.65999984741211,23.599029541015625
2018-10-24,63800,23.700000762939453,23.770000457763672,23.780000686645508,23.65999984741211,23.69873046875
2018-10-23,46200,23.670000076293945,23.6299991607666,23.739999771118164,23.6299991607666,23.55914878845215
2018-10-22,46500,23.65999984741211,23.655000686645508,23.700000762939453,23.600000381469727,23.584075927734375
2018-10-19,23800,23.700000762939453,23.68000030517578,23.700000762939453,23.600000381469727,23.60900115966797
2018-10-18,39600,23.635000228881836,23.700000762939453,23.719999313354492,23.610000610351562,23.62894058227539
2018-10-17,48600,23.670000076293945,23.649999618530273,23.739999771118164,23.6299991607666,23.579090118408203
2018-10-16,65700,23.732999801635742,23.719999313354492,23.739999771118164,23.670000076293945,23.648880004882812
2018-10-15,31500,23.75,23.71500015258789,23.770000457763672,23.65999984741211,23.643896102905273
2018-10-12,112100,23.75,23.729999542236328,23.777000427246094,23.670000076293945,23.658849716186523
2018-10-11,44200,23.68000030517578,23.700000762939453,23.75,23.670000076293945,23.62894058227539
2018-10-10,215100,23.59000015258789,23.6299991607666,23.709999084472656,23.59000015258789,23.55914878845215
2018-10-09,59000,23.690000534057617,23.65999984741211,23.729999542236328,23.639999389648438,23.589059829711914
2018-10-08,30800,23.579999923706055,23.690000534057617,23.719999313354492,23.270000457763672,23.61897087097168
2018-10-05,51600,23.65999984741211,23.6200008392334,23.709999084472656,23.600000381469727,23.54918098449707
2018-10-04,41700,23.65999984741211,23.700000762939453,23.768999099731445,23.65999984741211,23.62894058227539
2018-10-03,28300,23.860000610351562,23.788999557495117,23.889999389648438,23.711999893188477,23.71767234802246
